Amplitude (Max-Offset) (mean),Amp. rel. (Max-Offset) Filtering (min),Amp. rel. (Max-Offset) Filtering (max),Amp. rel. (Max-Offset) Filtering (mean),Frequency (Max) (mean),Frequency (Max) Filtering (mean),Open speed (mean),Close speed (mean),Speed (min),Speed (max),Speed (mean),Acceleration (mean),Amp.decline (linear regres),Freq.decline (linear regres)
72.024,0.8361,0.9587,2.3208,2.8904,0.1734,0.1717,-2.3618,1.6178,0.357,15.242,8.018,0.611
73.7283,0.822,0.9524,2.4216,2.8373,0.1793,0.1778,-2.1492,1.2598,0.3693,15.6738,3.998,0.529
73.2983,0.8116,0.931,1.9948,2.715,0.1598,0.1589,-2.3201,1.245,0.334,14.0768,3.149,0.823
58.7912,0.6104,0.8805,2.8327,3.2721,0.1648,0.1706,-2.2921,1.384,0.3563,17.3417,9.365,0.493
68.5185,0.8443,0.928,3.0431,3.3796,0.204,0.2057,-2.2421,1.4884,0.4215,20.2164,-2.525,0.384
67.4263,0.8707,0.9523,3.0028,3.4022,0.2006,0.2031,-2.2232,1.4513,0.4159,19.9332,3.023,0.453
68.4227,0.8325,0.9602,2.8047,3.1756,0.2018,0.2019,-2.1515,1.731,0.4189,21.612,8.214,0.364
59.9803,0.7888,0.8228,4.8484,5.1405,0.2448,0.2428,-2.259,1.4783,0.4996,24.8104,-1.668,0.340
36.482,0.3893,0.777,5.0083,5.9111,0.1709,0.1661,-1.4748,0.9009,0.3515,17.3346,-26.660,1.008
47.5104,0.6207,0.8275,5.1913,5.7384,0.2127,0.2109,-1.6308,1.0801,0.4371,18.3511,-2.921,0.779
46.7303,0.5847,0.834,5.4462,6.1478,0.22,0.2203,-1.798,1.4006,0.4528,21.2061,-3.376,0.900
68.2013,0.8414,0.935,4.9067,5.2304,0.2654,0.2559,-2.2796,1.9936,0.5455,30.8577,4.232,0.133
63.4695,0.7982,0.9193,4.645,6.4872,0.232,0.2254,-1.8678,1.6742,0.4779,26.8268,3.752,1.718
69.298,0.8412,0.9239,4.7151,5.0633,0.2984,0.2901,-2.4979,2.1283,0.6016,30.6337,3.922,0.377
70.9462,0.8765,0.9492,4.6932,5.3667,0.3017,0.2995,-2.5798,2.565,0.6144,32.2062,1.735,0.759
25.4862,0.3593,0.784,4.8545,5.23,0.0997,0.0997,-1.5572,0.7744,0.2102,9.3968,-15.702,-0.257
63.0337,0.864,0.9528,4.2011,4.4885,0.2355,0.2358,-1.8366,1.4755,0.4879,24.7148,1.375,0.019
54.5682,0.8803,0.9471,4.3824,4.5217,0.2085,0.201,-1.8192,1.1805,0.425,23.9041,-3.637,0.070
30.1757,0.2449,0.7014,4.445,4.8155,0.101,0.1013,-1.9081,1.3731,0.2181,10.7646,35.377,-0.315
69.0334,0.8227,0.9301,4.4929,4.5931,0.2667,0.2659,-2.4426,1.9406,0.5499,30.426,9.390,0.009
71.956,0.8052,0.9738,3.4827,4.0972,0.2416,0.2408,-2.5062,2.0554,0.5071,29.4209,-15.281,0.756
63.2528,0.7326,0.9412,3.3514,4.1069,0.1995,0.1981,-2.4464,1.803,0.4197,22.8157,-11.003,0.951
65.6075,0.6533,0.8471,3.4998,3.9313,0.197,0.192,-2.2473,2.0801,0.4148,23.7164,-14.174,-0.126
62.8294,0.684,0.8754,3.5265,5.0492,0.2094,0.2018,-2.4344,2.1795,0.4325,25.2246,-16.072,1.509
67.4986,0.7355,0.913,3.2752,4.6211,0.2299,0.2153,-2.1314,2.0956,0.4578,26.1351,9.214,-0.398
65.8323,0.6845,0.9367,3.2106,4.1522,0.2198,0.2102,-2.6076,1.7387,0.4549,22.7754,-12.236,1.142
68.6685,0.862,0.9406,3.2902,4.3161,0.1985,0.1885,-2.0382,1.7582,0.4102,20.6194,0.587,-0.281
68.6083,0.8621,0.9438,3.3191,4.0177,0.2035,0.1981,-2.1075,1.6695,0.4207,22.7097,-1.068,0.285
