Amplitude (Max-Offset) (mean),Amp. rel. (Max-Offset) Filtering (min),Amp. rel. (Max-Offset) Filtering (max),Amp. rel. (Max-Offset) Filtering (mean),Frequency (Max) (mean),Frequency (Max) Filtering (mean),Open speed (mean),Close speed (mean),Speed (min),Speed (max),Speed (mean),Acceleration (mean),Amp.decline (linear regres),Freq.decline (linear regres)
90.2518,0.9256,0.9721,0.9499,3.1315,3.1774,0.2768,0.2669,-3.0697,2.4107,0.5686,31.0912,-0.250,-0.080
70.4775,0.4301,0.8924,0.759,3.2787,3.3281,0.2127,0.212,-3.0515,1.9667,0.4387,20.353,24.059,-0.060
90.5585,0.8571,0.9675,0.9364,3.2103,3.2323,0.2744,0.2669,-3.1412,1.8723,0.5562,27.6047,3.914,0.127
79.7313,0.8358,0.9581,0.9082,2.103,2.4878,0.1461,0.1483,-2.2446,1.3981,0.3081,13.4506,8.110,0.445
62.389,0.6206,0.9239,0.7661,3.2512,3.3234,0.1793,0.1813,-2.5619,1.7191,0.3703,14.8328,19.800,0.221
72.0593,0.8156,0.9787,0.9115,2.811,2.8815,0.189,0.1889,-2.2701,1.5992,0.3873,16.3584,12.667,0.430
57.9237,0.7043,0.9185,0.793,3.6823,3.8058,0.1812,0.1766,-2.0662,1.6647,0.3784,20.759,15.294,0.373
61.6004,0.724,0.9396,0.8331,4.1393,4.6229,0.2129,0.2162,-2.228,1.8364,0.4463,24.5238,4.197,0.282
62.5417,0.8409,0.916,0.886,4.4118,4.6022,0.1989,0.1944,-1.9313,1.4969,0.4018,20.5522,3.350,-0.342
76.8989,0.9221,0.9644,0.9383,3.0488,3.0467,0.2109,0.2124,-2.1282,2.0305,0.4372,22.8165,2.530,0.191
86.4191,0.9365,0.9762,0.9533,3.1681,3.1773,0.2413,0.2407,-2.5819,1.9218,0.4925,25.2802,0.285,0.091
71.7206,0.9066,0.953,0.924,3.2787,3.3128,0.2203,0.2238,-2.2376,1.9547,0.4667,24.6313,0.267,0.281
87.3572,0.9323,0.986,0.9631,2.7268,2.7284,0.1843,0.1714,-1.8444,1.9283,0.3738,15.6192,-3.885,-0.008
83.7654,0.9532,0.9815,0.9675,3.4232,3.4424,0.2509,0.2496,-2.8996,2.4233,0.5126,28.0455,0.782,-0.089
87.9962,0.9117,0.9779,0.9402,3.9979,4.0101,0.3248,0.3233,-2.9173,2.4985,0.6692,40.0988,4.960,0.145
82.5662,0.9228,0.9717,0.9463,3.9574,3.9479,0.3103,0.3103,-2.5883,2.4887,0.6304,38.2603,2.203,0.171
87.9346,0.9153,0.9817,0.9446,4.1173,4.2266,0.3445,0.335,-2.8779,2.4203,0.6908,38.9328,0.786,-0.188
88.708,0.894,0.9655,0.9228,4.5667,4.573,0.3688,0.3601,-2.5193,2.7628,0.7442,45.8334,-0.117,-0.033
93.6392,0.9175,0.9859,0.9518,4.3344,4.3498,0.3731,0.3722,-2.8954,2.6769,0.7729,44.321,7.060,0.166
93.7821,0.8857,0.9776,0.936,4.2553,4.263,0.3785,0.3706,-2.8634,2.7356,0.7689,44.0872,8.629,-0.029
41.0463,0.3593,0.6888,0.5031,6.0254,7.0005,0.1843,0.1853,-2.4765,1.9479,0.3897,24.9844,19.665,1.936
41.5834,0.4611,0.6417,0.5493,7.3801,8.4944,0.2253,0.225,-2.2888,2.2354,0.4665,33.2817,16.626,-0.549
79.7382,0.831,0.9776,0.9375,3.3387,3.3731,0.2396,0.231,-2.6659,2.0048,0.4879,27.1502,3.196,-0.221
58.8605,0.6074,0.9116,0.7537,3.6438,3.6624,65535,0.188,-2.3618,1.6604,0.38901,20.0376,16.924,0.018
48.8774,0.6022,0.7355,0.6735,4.5254,4.7893,0.1791,0.1714,-2.0155,1.6093,0.3673,20.0481,-1.604,-0.493
60.1144,0.7465,0.9535,0.8716,4.7544,5.1775,0.1981,0.1949,-2.3699,2.092,0.4096,23.8997,9.382,2.047
62.0821,0.5682,0.8971,0.793,3.7604,4.1245,0.1933,0.1883,-1.536,2.1683,0.3966,20.158,16.734,0.527
76.5143,0.9098,0.9731,0.9427,3.212,3.2596,0.2199,0.2105,-2.1885,2.1042,0.4431,23.3148,4.876,0.033
72.9217,0.823,0.8629,0.8455,3.8196,3.9392,0.2281,0.2199,-2.2745,2.1128,0.4668,25.5932,0.272,0.242
80.412,0.8831,0.984,0.9168,3.6717,3.7187,0.2405,0.2413,-2.701,1.6456,0.4924,25.2054,7.264,-0.353
74.9102,0.8513,0.9653,0.9044,3.8582,3.9129,0.2474,0.2461,-2.0233,1.6206,0.5038,22.26,8.004,-0.132
76.7167,0.9062,0.9858,0.9401,3.7995,3.822,0.2658,0.2656,-2.4106,1.574,0.548,26.3958,6.952,-0.039
20.5933,0.3989,0.6069,0.4761,5.5802,5.8027,0.0693,0.0707,-1.1851,0.8373,0.149,8.7701,1.099,1.997
56.3089,0.4241,0.9137,0.7239,4.5479,4.5958,0.2237,0.2221,-2.7427,2.1847,0.4588,27.3654,40.286,-0.034
37.021,0.3182,0.7529,0.4866,4.3135,4.6135,0.138,0.1402,-2.4993,1.7414,0.296,17.7343,13.701,-0.159
48.0274,0.3776,0.8758,0.5897,4.1712,4.265,0.1742,0.1726,-2.8718,2.2027,0.3646,22.6933,48.661,0.330
26.8731,0.3185,0.5492,0.4118,4.3827,4.7084,0.0964,0.0975,-2.2725,1.3367,0.2067,11.41,9.495,-2.011
77.3979,0.7332,0.9797,0.8995,3.7017,3.723,0.2638,0.2628,-2.9412,1.6977,0.5402,28.2764,12.015,0.515
